Traffic source,Views,Watch time (hours),Average view duration,Impressions,Impressions click-through rate (%)
Total,12100212,138067.1021,0:00:41,68113477,6.77
Shorts feed,6146493,48645.1789,0:00:28,,
Browse features,3984574,59334.1093,0:00:53,43260357,8.12
YouTube search,981406,11329.6312,0:00:42,11158536,5.19
Suggested videos,519821,9200.0457,0:01:03,11749802,3.86
Channel pages,159327,3916.8769,0:01:28,1512516,3.78
Other YouTube features,151385,2344.7674,0:00:55,,
Hashtag pages,55584,303.8488,0:00:20,,
Notifications,42126,789.3137,0:01:07,,
External,19546,372.9578,0:01:09,,
Direct or unknown,18893,1052.2499,0:03:20,,
Playlists,15412,562.7612,0:02:11,432266,1.92
Related Shorts,4561,154.1647,0:02:01,,
End screens,669,39.9023,0:03:34,,
Sound pages,181,1.1282,0:00:25,,
Video cards and annotations,168,19.6055,0:07:00,,
Vertical live feed,66,0.5607,0:00:30,,
